컬럼명,구분,설명,시각화_사용처
그리드ID,격자,"50,000㎡ 격자 고유 ID",라벨/팝업
주요구,위치,격자가 주로 포함하는 자치구,팝업/필터
주요법정동명,위치,격자가 주로 포함하는 법정동,팝업/필터
기준면적_m2,분모,"격자 기준면적. 모든 격자 50,000㎡",밀도 계산
전체건물수,전체건물,격자 안 전체 건물 개수,건물수 모드/팝업
건축면적입력건물수,검증,건축면적이 0보다 큰 건물 수,호버/팝업
건축면적역추산건물수,검증,건축면적이 0이고 연면적/층수로 건축면적을 역추산한 건물 수,호버/팝업
건축면적산정불가건물수,검증,건축면적도 없고 연면적/층수 역추산도 불가능한 건물 수,호버/팝업
연면적입력건물수,검증,연면적이 0보다 큰 건물 수,호버/팝업
층수입력건물수,검증,지상층수+지하층수가 0보다 큰 건물 수,호버/팝업
전체건물수_per_ha,전체건물,전체건물수 / 5ha,건물수/ha 모드
전체건축면적합계_m2,전체건물,격자 안 전체 건물 원본 건축면적 합계,팝업/검증
계산건축면적합계_m2,전체건물,원본 건축면적과 연면적/층수 역추산 건축면적을 합친 값,팝업/검증
건축면적x층수_분자,전체건물,Σ(계산건축면적 × 총층수 기반 분자). 건축면적이 없고 연면적/층수가 있으면 연면적/총층수로 역추산,건축면적×층수 밀도 계산
건축면적x층수_밀도,전체건물,"건축면적x층수_분자 / 50,000㎡",기본 지도 색상/라벨
전체건물입체화재하중_분자_원본,전체건물,"Σ(건축면적 × 총층수), 건축면적×총층수가 0이면 연면적 사용",보정 전 비교
전체건물입체화재하중_분자,전체건물,보정분자 합계. 이상 면적은 연면적으로 대체,전체건물 보정밀도 계산
면적보정건물수,검증,"건축면적<=0, 건축면적>연면적, 건축면적×총층수>연면적 중 하나에 해당해 연면적으로 대체한 건물수",팝업/검증
표제부보정건물수,검증,SHP 원본 면적/층수 0 건물 중 표제부 후보로 면적·층수·건물명을 보정한 건물수,팝업/실제건물 레이어
전체건물_입체화재하중밀도,전체건물,"전체건물입체화재하중_분자 / 50,000㎡",기본 지도 색상/라벨
상가수,상가,건물용도코드 03000/04000/07000 또는 용도명 근린생활시설/판매시설 건물수,상가수 모드
상가수_per_ha,상가,상가수 / 5ha,상가수/ha 모드
숙박시설수,숙박,격자 안 숙박시설 수,숙박시설수 모드/팝업
숙박시설수_per_ha,숙박,숙박시설수 / 5ha,숙박시설수/ha 모드
상가숙박_개수,상가+숙박,상가수 + 숙박시설수,상가+숙박 개수 모드
상가숙박_개수_per_ha,상가+숙박,상가수 + 숙박시설수) / 5ha,상가+숙박 개수 밀도 모드
숙박연면적합계_m2,숙박,격자 안 숙박시설 연면적 합계,팝업/규모 비교
상가건축면적x층수_분자,상가,상가 건물의 Σ(건축면적 × 총층수),상가 건축면적×층수 밀도 계산
상가건축면적x층수_밀도,상가,"상가건축면적x층수_분자 / 50,000㎡",상가 건축면적×층수 모드
숙박입체화재하중_분자,숙박,숙박시설 연면적 합계 기반 분자,숙박 규모 비교
상가숙박_면적층수_분자,상가+숙박,상가건축면적x층수_분자 + 숙박입체화재하중_분자,면적·층수 기반 보조 지표
상가숙박_면적층수_밀도,상가+숙박,"상가숙박_면적층수_분자 / 50,000㎡",면적·층수 기반 보조 지표
상가입체화재하중_분자,상가,"Σ(상가 건축면적 × 총층수), 0이면 연면적 사용",상가 밀도 계산
상가_입체화재하중밀도,상가,"상가입체화재하중_분자 / 50,000㎡",상가 밀도 모드
건물데이터_0여부,검증,전체건물수 0개 여부,빨간 격자 표시
중심위도,좌표,격자 중심 위도,라벨/집계점
중심경도,좌표,격자 중심 경도,라벨/집계점
